story_id,age_group,theme_label,text,avg_sentence_length,avg_word_length,word_count,sentence_count,flesch_kincaid_grade,flesch_reading_ease
T19,Toddler,Animals,The duck quacks. Quack quack. The duck swims in the pond. The pond is big. The duck has ducklings. The ducklings are small. They swim together.,3.71,4.27,26.0,7.0,-0.53,105.45
T20,Toddler,Family,My sister plays. My brother runs. I clap my hands. We all laugh. We play together. Playing is fun. I love my family. Family is the best.,3.38,3.78,27.0,8.0,0.59,96.88
P01,Preschooler,Nature & Environment,"One sunny morning, a curious little caterpillar named Coco began munching through the biggest, juiciest leaf in the whole garden. She ate and ate until her belly was wonderfully full. Then she wrapped herself in a cozy, silky cocoon and fell into a deep, peaceful sleep. When Coco finally woke up and stretched her brand-new wings, she discovered she had transformed into the most beautiful butterfly the meadow had ever seen.",17.5,4.83,70.0,4.0,8.94,62.17
P02,Preschooler,Friendship & Kindness,"Leo the lion cub was new to the jungle and felt nervous because he did not know anyone yet. One afternoon, a cheerful little monkey named Momo swung down from a tall banana tree and offered Leo some fruit with a warm, friendly smile. From that very moment, the two became the best of friends, exploring the jungle together every single day and sharing all their adventures with each other.",23.33,4.47,70.0,3.0,9.52,68.34
P03,Preschooler,Problem-Solving,"Priya was building the tallest tower she had ever attempted, using her colorful wooden blocks, when suddenly the entire structure came tumbling down with a magnificent crash. Instead of giving up and walking away, Priya took a deep, calming breath, carefully studied what had gone wrong, and began rebuilding her tower even more slowly and deliberately. This time, she made sure each block was perfectly balanced before placing the next one on top.",24.33,5.01,73.0,3.0,12.33,50.02
P04,Preschooler,Nature & Environment,"Deep beneath the shimmering surface of the ocean, a young starfish named Stella discovered a magnificent coral reef teeming with hundreds of colorful fish, swaying sea plants, and glittering shells of every imaginable shape. Stella spent the entire afternoon exploring every hidden corner and crevice, learning the names of the creatures she encountered and making new friends along the way. By sunset, she realized the ocean was even more magical than she had imagined.",24.67,5.26,74.0,3.0,14.6,34.32
P05,Preschooler,Imagination & Adventure,"Every night before bedtime, young Sam would pull his cozy blanket up over his head and imagine himself as the captain of a magnificent rocket ship zooming through the vast, star-filled galaxy. He steered around swirling purple nebulas, landed gently on the moon to collect glowing space rocks, and even befriended a small, cheerful alien who taught him how to count in a language made entirely of musical notes.",34.0,4.78,68.0,2.0,15.37,45.43
P06,Preschooler,Friendship & Kindness,"Maya noticed that her classmate Zoe was sitting completely alone on the playground bench during recess, looking sad and a little lost. Without hesitating for even a single second, Maya walked right over, sat down beside her, and invited Zoe to come play on the climbing frame together. By the end of the day, the two girls were laughing and sharing secrets like they had been best friends for their entire lives.",24.0,4.62,72.0,3.0,10.81,60.28
P07,Preschooler,Seasons & Weather,"When the very first snowflakes began to fall from the gray winter sky, Aiden rushed to bundle up in his warmest coat, scarf, and mittens before dashing outside to welcome the magical white world that had appeared overnight. He carefully caught individual snowflakes on his tongue, built a lopsided but lovable snowman in the front yard, and discovered that every single snowflake that landed on his dark sleeve had a completely different and intricate pattern.",37.5,5.05,75.0,2.0,17.44,36.8
P08,Preschooler,Problem-Solving,"The three little pigs decided to have a contest to determine who could build the strongest house using only materials they could find in their neighborhood. The first pig chose soft straw because it was quick and easy. The second pig selected wooden sticks for their flexibility. But the third pig, who was the most patient and thoughtful of all, carefully laid brick upon brick until her house was absolutely unshakeable, no matter how hard the wind might blow.",19.75,4.77,79.0,4.0,8.54,68.99
P09,Preschooler,Learning & School,"On her very first day of school, Sophie clutched her new backpack tightly and felt her heart beating fast as she walked through the big, bright classroom door. But her kind teacher, Ms. Rivera, showed her where to hang her bag, introduced her to the class with the warmest smile, and helped her find a seat next to another shy girl named Lily. By lunchtime, Sophie had discovered that school was actually a wonderful place full of exciting things to learn and friendly people to meet.",28.33,4.54,85.0,3.0,10.87,67.6
P10,Preschooler,Nature & Environment,"Ben and his grandfather knelt side by side in the garden, carefully pressing tiny sunflower seeds into the warm, dark soil with their fingers. His grandfather explained, with great patience and love, exactly how seeds need sunlight, water, and time to crack open and send their first brave roots searching downward and their first tender shoot reaching upward toward the sky. Every single morning for the next two weeks, Ben ran outside first thing to check whether his seeds had finally begun to sprout.",28.0,4.89,84.0,3.0,11.48,62.59
P11,Preschooler,Imagination & Adventure,"In the secret, enchanted forest that existed just beyond the old wooden fence at the bottom of Lily's garden, the trees were rumored to whisper stories to anyone patient enough to press their ear against the ancient bark and listen carefully. One golden afternoon, Lily decided to be brave and venture inside, discovering a hidden clearing where woodland creatures gathered every evening to share tales of their extraordinary adventures under the stars.",36.0,5.19,72.0,2.0,18.44,26.95
P12,Preschooler,Seasons & Weather,"As the warm spring sunshine melted the last traces of winter snow, a family of robins returned to the old apple tree in the backyard and began weaving a careful, intricate nest from dry grasses, bits of string, and soft feathers they collected from around the yard. The children watched in absolute wonder from the kitchen window every morning as the nest grew, and eventually they were rewarded with the sight of four tiny, perfect blue eggs nestled safely inside.",40.0,4.72,80.0,2.0,17.27,42.51
P13,Preschooler,Learning & School,"During the library hour at preschool, the children discovered a remarkable pop-up book about ancient dinosaurs that made realistic roaring sounds when you opened each page. The teacher explained how scientists called paleontologists spent their entire careers carefully digging fossils from the earth to piece together the story of creatures who had roamed the planet millions of years before any human being was ever born. The children left the library determined to become dinosaur experts themselves.",25.0,5.57,75.0,3.0,14.46,35.95
P14,Preschooler,Friendship & Kindness,"When Timmy accidentally broke the beautiful purple crayon that belonged to his friend Ana while they were drawing together at the art table, he immediately felt a heavy knot of guilt in his stomach. He knew the honest and right thing to do was to admit what had happened and offer to replace it from his own pocket money, even though it would mean waiting another whole week to buy the toy car he had been saving up for.",39.5,4.28,79.0,2.0,15.95,51.09
P15,Preschooler,Imagination & Adventure,"The cardboard box that had arrived with the new refrigerator turned out to be, in the minds of two very creative children, a magnificent submarine capable of exploring the deepest trenches of the ocean floor, a racing car that could break every land speed record, and finally a rocket ship bound for the rings of Saturn. Their imaginative voyage lasted the entire afternoon, powered by nothing more than creativity, laughter, and a great deal of enthusiastic sound effects.",39.0,4.96,78.0,2.0,18.38,32.76
P16,Preschooler,Problem-Solving,"When heavy rain cancelled the outdoor picnic that the whole class had been excitedly looking forward to all week, the children were initially disappointed. But their clever teacher suggested they transform the classroom itself into an indoor picnic wonderland by spreading checkered tablecloths on the floor, hanging paper butterflies and flowers from the ceiling, and eating their sandwiches while listening to recordings of birds singing and wind rustling through summer leaves.",35.5,5.7,71.0,2.0,18.03,29.01
P17,Preschooler,Nature & Environment,"During the class nature walk through the park on a crisp autumn morning, the children collected fallen leaves of every color and size in their brown paper bags and pressed them carefully between the pages of heavy books when they returned to school. Their teacher explained how the trees were preparing for the long winter rest by drawing all their nourishment back into their roots and releasing their leaves to flutter gently down to the earth below.",38.5,4.84,77.0,2.0,16.44,45.8
P18,Preschooler,Seasons & Weather,"On the hottest day of summer, when the pavement shimmered with heat and even the birds seemed too exhausted to sing, Grandma set up the old sprinkler in the backyard and all the cousins ran through its cool, sparkling arcs of water, shrieking with pure delight. Later, they made homemade lemonade in the big glass pitcher, squeezing real lemons and adding just enough honey to make it perfectly sweet, and drank it sitting in the cool shade of the big oak tree.",41.0,4.52,82.0,2.0,16.66,48.64
P19,Preschooler,Learning & School,The mathematics lesson that had seemed impossibly confusing on Monday suddenly clicked into perfect clarity for Jamie on Thursday when the teacher used real strawberries to demonstrate the concept of addition and subtraction. Counting out four red strawberries and then adding three more made the number seven feel solid and real and meaningful in a way that the abstract symbols on the whiteboard never quite had before. Jamie raised her hand to answer three questions in a row after that.,26.67,5.1,80.0,3.0,13.25,47.58
P20,Preschooler,Friendship & Kindness,"On the day that Max arrived at school wearing a hearing aid for the very first time, feeling self-conscious and afraid that the other children might stare or ask embarrassing questions, his best friend Oliver walked right up to him at the classroom door, said it looked really interesting, and asked if Max could explain how it worked. The simple, curious question transformed Max's fear into pride, and he spent the morning explaining the science of sound to the genuinely fascinated class.",40.5,4.77,81.0,2.0,17.25,43.53
